instruction,category,intent,urgency
what's the typical delviery time to my country?,DELIVERY,delivery_period,medium
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account,high
Tracking number syas delivered but I never got it. Please assist.,ORDER,track_order,medium
quick question - i want to create a new account on your pltaform,ACCOUNT,create_account,low
"Hi team, I'm having trouble paying, the page errors out",PAYMENT,payment_issue,high
i need my money back for this defective product!,REFUND,get_refund,high
I have a question: how do I contact your support team?,CONTACT,contact_customer_service,low
Why can't I create my acocunt? It says invalid input.,ACCOUNT,registration_problems,low
Where can I view my past invoices? Many thanks.,INVOICE,check_invoice,medium
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems,low
The signup form keeps rejecting my email. Looking forward to hearing back.,ACCOUNT,registration_problems,low
can i have two accounts and switch between them? please assist.,ACCOUNT,switch_account,low
"Hi team, do you offer money-back guarantees?",REFUND,check_refund_policy,high
"i need to reset my password, please help. many thanks.",ACCOUNT,recover_password,high
sign me up for promotional emails,NEWSLETTER,newsletter_subscription,low
"hello, how do i request a refund?",REFUND,get_refund,high
What's the typical delivery time to my country?,DELIVERY,delivery_period,medium
Tracking number says delivered but I never got it. Thanks in advance.,ORDER,track_order,medium
"Hi, what are my delivery options for this order?",DELIVERY,delivery_options,medium
I have a question: I need my account deleted right away,ACCOUNT,delete_account,high
"i'd lkie to register, what's the process? many thanks.",ACCOUNT,create_account,low
"Please refund order #3300, the item arrived broken. Many thanks.",REFUND,get_refund,high
"Hello, how do I add a new shipping adderss to my account?",SHIPPING_ADDRESS,set_up_shipping_address,medium
"Hi team, I need to look up an old invoice",INVOICE,check_invoice,medium
Could you help - I want to switch to a different account,ACCOUNT,switch_account,low
"hi team, i want to write a review of my experience",FEEDBACK,review,low
"i'm ready to buy, what's next?",ORDER,place_order,medium
I have a question: what is your refund poliyc?,REFUND,check_refund_policy,high
"Excuse me, I need a human agent right now",CONTACT,contact_human_agent,low
i need my money back for this defective product!,REFUND,get_refund,high
Quick question - I want to create a new account on your platform,ACCOUNT,create_account,low
i need my account deleted right away,ACCOUNT,delete_account,high
"Good morning, I need to look up an old invoice",INVOICE,check_invoice,medium
I have a question: estimated delivery for standard shipping?,DELIVERY,delivery_period,medium
can i pay with paypal? is bank transfer an option?,PAYMENT,check_payment_methods,medium
I'd like to edit my personal details. Thanks!,ACCOUNT,edit_account,low
can you help me modify my acconut settings?,ACCOUNT,edit_account,low
How do I log into a secondary account?,ACCOUNT,switch_account,low
Can I add aonther item to order #4422?,ORDER,change_order,medium
What is your customer service phone number?,CONTACT,contact_customer_service,low
Can I choose same-day shipping? I'd appreciate a quick reply.,DELIVERY,delivery_options,medium
i have a question: how do i track my shipment?,ORDER,track_order,medium
Can you show me invoice numebr 8842?,INVOICE,check_invoice,medium
I was charged twice for the same order!,PAYMENT,payment_issue,high
can a live represenattive help me? the chatbot isn't enough.,CONTACT,contact_human_agent,low
please connect me to a real person. this is urgen.t,CONTACT,contact_human_agent,low
Can I set up multiple addresses on my profile? This is urgent.,SHIPPING_ADDRESS,set_up_shipping_address,medium
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy,high
Please remove my account from your system.,ACCOUNT,delete_account,high
"Hey there, cancel my order asap, I ordered the wrong item",CANCEL,cancel_order,high
"Hey there, I need to modify my existing order",ORDER,change_order,medium
"Hello, can you help me modify my account settings?",ACCOUNT,edit_account,low
i have a question: what are my payment options at cehckout?,PAYMENT,check_payment_methods,medium
"Hello, I'm trying to find a copy of my invoice",INVOICE,check_invoice,medium
"Good morning, how can I leave a review for the product I bought?",FEEDBACK,review,low
"good morning, i forgot my password and can't log in",ACCOUNT,recover_password,high
"Hi team, I'm trying to find a copy of invoice",INVOICE,check_invoice,medium
"I need to reset my password, please help. Looking forward to hearing back.",ACCOUNT,recover_password,high
"Hi team, I'm having trouble paying, the page errors out",PAYMENT,payment_issue,high
Quick question - what shipping methods are available?,DELIVERY,delivery_options,medium
Can you show me invoice number 8842?,INVOICE,check_invoice,medium
please connect me to a real person. thanks!,CONTACT,contact_human_agent,low
i have a question: how do i contact your support team?,CONTACT,contact_customer_service,low
can i add another item to order #4422? thanks!,ORDER,change_order,medium
I need to talk to someone about my order. Many thanks.,CONTACT,contact_customer_service,low
where do i post a product review? please assist.,FEEDBACK,review,low
"Colud you hepl - cancel my order asap, I ordered the wrong item",CANCEL,cancel_order,high
"hi team, i'd like to download an invoice",INVOICE,get_invoice,medium
I need my money back for this defective product!,REFUND,get_refund,high
"Good morning, how do I add a new shipping address to my account?",SHIPPING_ADDRESS,set_up_shipping_address,medium
"Hey there, I wnat to speak with a human agent, not a bot",CONTACT,contact_human_agent,low
tracking number says delivered but i never got it. thanks in advance.,ORDER,track_order,medium
"i need to reset my password, please help. please assist.",ACCOUNT,recover_password,high
do I order this product?,ORDER,place_order,medium
"Hi, can you help me complete my purchase?",ORDER,place_order,medium
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account,high
how many days do i have to return an item? thanks in advance.,REFUND,check_refund_policy,high
I need to talk to someone about my order.,CONTACT,contact_customer_service,low
"Excuse me, I'd like to place a new order",ORDER,place_order,medium
do you offer express delivery? i'm in a hurry.,DELIVERY,delivery_options,medium
"Wrong address on my order, please update it! Many thanks.",SHIPPING_ADDRESS,change_shipping_address,medium
Please remove my account from your system. I'd appreciate a quick reply.,ACCOUNT,delete_account,high
quick question - when will my refund be processed?,REFUND,track_refund,high
How can I chaneg my account information?,ACCOUNT,edit_account,low
can you tell me the status of order #9001?,ORDER,track_order,medium
"hey there, what are my delivery options for this order?",DELIVERY,delivery_options,medium
i a question: i need to look up an old invoice,INVOICE,check_invoice,medium
