instruction,category,intent
what's the typical delviery time to my country?,DELIVERY,delivery_period
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account
Tracking number syas delivered but I never got it. Please assist.,ORDER,track_order
quick question - i want to create a new account on your pltaform,ACCOUNT,create_account
"Hi team, I'm having trouble paying, the page errors out",PAYMENT,payment_issue
i need my money back for this defective product!,REFUND,get_refund
I have a question: how do I contact your support team?,CONTACT,contact_customer_service
Why can't I create my acocunt? It says invalid input.,ACCOUNT,registration_problems
Where can I view my past invoices? Many thanks.,INVOICE,check_invoice
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems
The signup form keeps rejecting my email. Looking forward to hearing back.,ACCOUNT,registration_problems
can i have two accounts and switch between them? please assist.,ACCOUNT,switch_account
"Hi team, do you offer money-back guarantees?",REFUND,check_refund_policy
"i need to reset my password, please help. many thanks.",ACCOUNT,recover_password
sign me up for promotional emails,NEWSLETTER,newsletter_subscription
"hello, how do i request a refund?",REFUND,get_refund
What's the typical delivery time to my country?,DELIVERY,delivery_period
Tracking number says delivered but I never got it. Thanks in advance.,ORDER,track_order
"Hi, what are my delivery options for this order?",DELIVERY,delivery_options
I have a question: I need my account deleted right away,ACCOUNT,delete_account
"i'd lkie to register, what's the process? many thanks.",ACCOUNT,create_account
"Please refund order #3300, the item arrived broken. Many thanks.",REFUND,get_refund
"Hello, how do I add a new shipping adderss to my account?",SHIPPING_ADDRESS,set_up_shipping_address
"Hi team, I need to look up an old invoice",INVOICE,check_invoice
Could you help - I want to switch to a different account,ACCOUNT,switch_account
"hi team, i want to write a review of my experience",FEEDBACK,review
"i'm ready to buy, what's next?",ORDER,place_order
I have a question: what is your refund poliyc?,REFUND,check_refund_policy
"Excuse me, I need a human agent right now",CONTACT,contact_human_agent
i need my money back for this defective product!,REFUND,get_refund
Quick question - I want to create a new account on your platform,ACCOUNT,create_account
i need my account deleted right away,ACCOUNT,delete_account
"Good morning, I need to look up an old invoice",INVOICE,check_invoice
I have a question: estimated delivery for standard shipping?,DELIVERY,delivery_period
can i pay with paypal? is bank transfer an option?,PAYMENT,check_payment_methods
I'd like to edit my personal details. Thanks!,ACCOUNT,edit_account
can you help me modify my acconut settings?,ACCOUNT,edit_account
How do I log into a secondary account?,ACCOUNT,switch_account
Can I add aonther item to order #4422?,ORDER,change_order
What is your customer service phone number?,CONTACT,contact_customer_service
Can I choose same-day shipping? I'd appreciate a quick reply.,DELIVERY,delivery_options
i have a question: how do i track my shipment?,ORDER,track_order
Can you show me invoice numebr 8842?,INVOICE,check_invoice
I was charged twice for the same order!,PAYMENT,payment_issue
can a live represenattive help me? the chatbot isn't enough.,CONTACT,contact_human_agent
please connect me to a real person. this is urgen.t,CONTACT,contact_human_agent
Can I set up multiple addresses on my profile? This is urgent.,SHIPPING_ADDRESS,set_up_shipping_address
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy
Please remove my account from your system.,ACCOUNT,delete_account
"Hey there, cancel my order asap, I ordered the wrong item",CANCEL,cancel_order
"Hey there, I need to modify my existing order",ORDER,change_order
"Hello, can you help me modify my account settings?",ACCOUNT,edit_account
i have a question: what are my payment options at cehckout?,PAYMENT,check_payment_methods
"Hello, I'm trying to find a copy of my invoice",INVOICE,check_invoice
"Good morning, how can I leave a review for the product I bought?",FEEDBACK,review
"good morning, i forgot my password and can't log in",ACCOUNT,recover_password
"Hi team, I'm trying to find a copy of invoice",INVOICE,check_invoice
"I need to reset my password, please help. Looking forward to hearing back.",ACCOUNT,recover_password
"Hi team, I'm having trouble paying, the page errors out",PAYMENT,payment_issue
Quick question - what shipping methods are available?,DELIVERY,delivery_options
Can you show me invoice number 8842?,INVOICE,check_invoice
please connect me to a real person. thanks!,CONTACT,contact_human_agent
i have a question: how do i contact your support team?,CONTACT,contact_customer_service
can i add another item to order #4422? thanks!,ORDER,change_order
I need to talk to someone about my order. Many thanks.,CONTACT,contact_customer_service
where do i post a product review? please assist.,FEEDBACK,review
"Colud you hepl - cancel my order asap, I ordered the wrong item",CANCEL,cancel_order
"hi team, i'd like to download an invoice",INVOICE,get_invoice
I need my money back for this defective product!,REFUND,get_refund
