instruction,category,intent,urgency
Could you help - I need to modify my existing order,ORDER,change_order,medium
"Hi team, wihch payment methods do you accept?",PAYMENT,check_payment_methods,medium
"Hey there, I'm havign trouble paying, the page errros out",PAYMENT,payment_issue,high
"Wrong address on my order, please update it! Many thanks.",SHIPPING_ADDRESS,change_shipping_address,medium
"Excuse me, do you offer money-back guarantees?",REFUND,check_refund_policy,high
Your support has been awful and I'm furious about it,FEEDBACK,complaint,high
It's been 10 days and no refund yet. Thanks!,REFUND,track_refund,high
Could you help - sign me up for prmootional emails,NEWSLETTER,newsletter_subscription,low
"wrong address on my order, please update it! cheers.",SHIPPING_ADDRESS,change_shipping_address,medium
Please remove my account from your system. Please assist.,ACCOUNT,delete_account,high
can i unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription,low
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password,high
"hi team, i need to cancel my order immediately",CANCEL,cancel_order,high
"hi, what are my delivery options for this ordre?",DELIVERY,delivery_options,medium
"Hey there, my payment was declined but my card is fine",PAYMENT,payment_issue,high
Do you take Apple Pay or only credit cards? Many thanks.,PAYMENT,check_payment_methods,medium
How do I order this product? Thanks in advance.,ORDER,place_order,medium
could you help - what is your refund policy?,REFUND,check_refund_policy,high
"Hi team, I need to change the shipping address on my order",SHIPPING_ADDRESS,change_shipping_address,medium
Can you check on the status of my refund?,REFUND,track_refund,high
"Good morning, how do I edit the delivery address?",SHIPPING_ADDRESS,change_shipping_address,medium
"Hello, I want to updaet the quantity in my order",ORDER,change_order,medium
"Hey there, I want to create a new account on your platform",ACCOUNT,create_account,low
"hey there, is tehre a support email i can use?",CONTACT,contact_customer_service,low
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy,high
I want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address,medium
Your support has been awful and I'm furious about it,FEEDBACK,complaint,high
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password,high
where is my order? It hasn't arrived yet,ORDER,track_order,medium
"good morning, how long will my order take to arrive?",DELIVERY,delivery_period,medium
i was charged twice for the same order!,PAYMENT,payment_issue,high
"Hey there, how can I leave a review for the product I bought?",FEEDBACK,review,low
Quick question - what shipping methods are available?,DELIVERY,delivery_options,medium
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems,low
I need an invoice for accounting. Thanks in advance.,INVOICE,get_invoice,medium
"Hey there, I want to create a new account on yuor platform",ACCOUNT,create_account,low
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
could you help - i want to delete my account permanently,ACCOUNT,delete_account,high
Waht's the typical delivery time to my country?,DELIVERY,delivery_period,medium
Could you help - I want to create a new account on your platform,ACCOUNT,create_account,low
"Locked out of my account, passwodr recovery isn't working!",ACCOUNT,recover_password,high
sign me up for promotional emails,NEWSLETTER,newsletter_subscription,low
Please change the szie on my recent order before it ships,ORDER,change_order,medium
"Hey there, what shipping mehtods are available?",DELIVERY,delivery_options,medium
Your support has been awful and I'm furious about it,FEEDBACK,complaint,high
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription,low
How do I order thsi product?,ORDER,place_order,medium
i want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address,medium
quick question - i frogot my password and can't log in,ACCOUNT,recover_password,high
Could you help - is there a support I can use?,CONTACT,contact_customer_service,low
"i need to reset my password, please help. please assist.",ACCOUNT,recover_password,high
i need to talk to someone about my order. looking forward to hearing back.,CONTACT,contact_customer_service,low
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password,high
"wrong address on my order, please update it! plesae assist.",SHIPPING_ADDRESS,change_shipping_address,medium
Please cancel order #1234 before it ships. Thanks!,CANCEL,cancel_order,high
I have a question: I forgot my password and can't log in,ACCOUNT,recover_password,high
"hi team, i need to update the email on my profile",ACCOUNT,edit_account,low
I was charged twice for the same order! Thanks in advance.,PAYMENT,payment_issue,high
could you hepl - i want to delete my accoutn permanently,ACCOUNT,delete_account,high
I have a question: whree is my order? It hasn't arrived yet,ORDER,track_order,medium
What's the typical delievry time to my country?,DELIVERY,delivery_period,medium
"Hi, I'm extremely unhappy with the service",FEEDBACK,complaint,high
"Hi team, I forgot my paswsord and can't log in",ACCOUNT,recover_password,high
When can expect my package? This is urgent.,DELIVERY,delivery_period,medium
"excuse me, what shipping methods are available?",DELIVERY,delivery_options,medium
I have a question: I want to write a review of my experience,FEEDBACK,review,low
Can you help me open a customer account? Cheers.,ACCOUNT,create_account,low
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account,high
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password,high
"I'd like to regitser, what's the process? This is urgent.",ACCOUNT,create_account,low
"Hi, my payment was declined but my card is fien",PAYMENT,payment_issue,high
I haev a question: I need to cancel my order immediately,CANCEL,cancel_order,high
please connect me to a real person.,CONTACT,contact_human_agent,low
How do I log into a secondary account?,ACCOUNT,switch_account,low
"Please refund order #3300, the item arrived broken. Thanks!",REFUND,get_refund,high
"Excuse me, please send me the invoice for my recent order",INVOICE,get_invoice,medium
"hi team, i want to write a review of my experience",FEEDBACK,review,low
"Hey there, I need to modify my existing order",ORDER,change_order,medium
"hi, how long will my order take to arrive?",DELIVERY,delivery_period,medium
"Excuse me, I want to speak with a human agent, not a bot",CONTACT,contact_human_agent,low
Do you take Apple Pay or only credit cadrs?,PAYMENT,check_payment_methods,medium
do I order this product?,ORDER,place_order,medium
Where can I view my past invoices? Many thanks.,INVOICE,check_invoice,medium
it's been 10 days and no rfeund yet. please assist.,REFUND,track_refund,high
Can I add another item to order #4422? Cheers.,ORDER,change_order,medium
Can you check on the status of my refund?,REFUND,track_refund,high
"Good morning, I keep getting 'username already taken' but I'm new",ACCOUNT,registration_problems,low
"out of my account, password recovery is'nt working!",ACCOUNT,recover_password,high
where do i post a product review? many thanks.,FEEDBACK,review,low
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription,low
"Hey there, where is my oredr? It hasn't arrived yet",ORDER,track_order,medium
Coudl you help - please sedn me the invoice for my recent order,INVOICE,get_invoice,medium
"Excuse me, do you offer money-back guarantees?",REFUND,check_refund_policy,high
could you help - how do i edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address,medium
"Good morning, how do I track my shipment?",ORDER,track_order,medium
can you help me modify my account settings?,ACCOUNT,edit_account,low
I have a question: I want to lodge a complaint about the recent experience,FEEDBACK,complaint,high
"I'd like to register, what's the process?",ACCOUNT,create_account,low
i was charged twice for the same order! i'd appreciate a quick reply.,PAYMENT,payment_issue,high
how do i add a new shipping to my account?,SHIPPING_ADDRESS,set_up_shipping_address,medium
i need to update the email on my profile,ACCOUNT,edit_account,low
"Hey there, can you help me complete my purchase?",ORDER,place_order,medium
"good morinng, my payment was declined but my card is fine",PAYMENT,payment_issue,high
Please connect me to a real person. Pelase assist.,CONTACT,contact_human_agent,low
when can i expect my package? many thanks.,DELIVERY,delivery_period,medium
how do i order this product? this is urgent.,ORDER,place_order,medium
"I'd like to register, what's the process? Looking forward to hearing back.",ACCOUNT,create_account,low
I hvae a question: the password reset email never arrived,ACCOUNT,recover_password,high
Where do I pots a prodcut review?,FEEDBACK,review,low
I have a question: I need to modify my existing order,ORDER,change_order,medium
Can I pay with PayPal? Is bank transfer an option?,PAYMENT,check_payment_methods,medium
could you help - can you help complete my purchase?,ORDER,place_order,medium
I was charged twice for the same order! Please assist.,PAYMENT,payment_issue,high
"I'd like to register, what's the procses? I'd appreciate a quick reply.",ACCOUNT,create_account,low
i was twice for the same order!,PAYMENT,payment_issue,high
please remove my acocunt from your system. many thanks.,ACCOUNT,delete_account,high
"Hi, how do I edti the delivrey address?",SHIPPING_ADDRESS,change_shipping_address,medium
"hi, how do i subscribe to your newsletter?",NEWSLETTER,newsletter_subscription,low
Do you take Apple Pay or only credit cards? Looking forward to hearing back.,PAYMENT,check_payment_methods,medium
"excuse me, i want to write a review of my expreience",FEEDBACK,review,low
"Hey there, I need to update the email on my profile",ACCOUNT,edit_account,low
please connect me to a real person. thanks in advance.,CONTACT,contact_human_agent,low
could you help - is there a support email i can use?,CONTACT,contact_customer_service,low
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
do you take apple pay or only credit carsd? many thanks.,PAYMENT,check_payment_methods,medium
"good morinng, how do i track my shipment?",ORDER,track_order,medium
i need my money back for this defective product!,REFUND,get_refund,high
can i get a full refund if i'm not satisfied?,REFUND,check_refund_policy,high
"hello, i forgot my password and can't log in",ACCOUNT,recover_password,high
Where do I post a product review? Many thanks.,FEEDBACK,review,low
where can i view my past invoices? cheers.,INVOICE,check_invoice,medium
Can I choose same-day shipping? Thnaks in advance.,DELIVERY,delivery_options,medium
"hi, i need to use a different user profile",ACCOUNT,switch_account,low
Can I set up multiple addresses on my profile? This is urgent.,SHIPPING_ADDRESS,set_up_shipping_address,medium
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy,high
I haev a question: adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address,medium
Can you help me open a customer account? Many thanks.,ACCOUNT,create_account,low
i have a question: how do i add a new shipipng address to my account?,SHIPPING_ADDRESS,set_up_shipping_address,medium
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
I have a question: how long wlil my order take to arrive?,DELIVERY,delivery_period,medium
Can I choose same-day shipping? I'd appreciate a quick reply.,DELIVERY,delivery_options,medium
Could you help - I need to update the email on my profile,ACCOUNT,edit_account,low
How many days do I have to return an item? Thanks!,REFUND,check_refund_policy,high
"hey there, what shipping methosd are available?",DELIVERY,delivery_options,medium
"Good morning, how do I request a refund?",REFUND,get_refund,high
I need my money back for this defective porduct!,REFUND,get_refund,high
Cuold you help - how do I edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address,medium
The signup form keeps rejecting my email. This is urgent.,ACCOUNT,registration_problems,low
"Hell,o I'm getting an error when trying to register",ACCOUNT,registration_problems,low
what is refund policy?,REFUND,check_refund_policy,high
"Excuse me, how do I add a new shipping address to my account?",SHIPPING_ADDRESS,set_up_shipping_address,medium
why can't i create my account? it says invaldi input.,ACCOUNT,registration_problems,low
i'd like to share my feedback on a recent pruchase,FEEDBACK,review,low
"Good morning, sign me up for promotional emails",NEWSLETTER,newsletter_subscription,low
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription,low
"Hi team, I want to write a review my experience",FEEDBACK,review,low
Quick question - how do I add a new shipping address to my account?,SHIPPING_ADDRESS,set_up_shipping_address,medium
can i choose same-day shipping?,DELIVERY,delivery_options,medium
"hello, i want to write a review of my experience",FEEDBACK,review,low
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems,low
i have a question: what are my payment options at checkout?,PAYMENT,check_payment_methods,medium
how can i change my account information?,ACCOUNT,edit_account,low
"Hello, I need to change the shipping address on my order",SHIPPING_ADDRESS,change_shipping_address,medium
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password,high
"Hello, I'm getting an error when trying to register",ACCOUNT,registration_problems,low
What is your customer service phone number?,CONTACT,contact_customer_service,low
Do you take Apple Pay or only creidt cards? This is urgent.,PAYMENT,check_payment_methods,medium
"Hi taem, can you me complete my purhcase?",ORDER,place_order,medium
"good morning, i need my account deleted right away",ACCOUNT,delete_account,high
"I need to reset my password, plaese help. Cheers.",ACCOUNT,recover_password,high
Where can I view my past invoices? Thanks!,INVOICE,check_invoice,medium
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription,low
could you help - i want to get a refund for my purchase,REFUND,get_refund,high
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice,medium
"Hi, when will my refund be processed?",REFUND,track_refund,high
What's the typical delivery time to my country?,DELIVERY,delivery_period,medium
"hi, i want to lodge a complanit about the recent experience",FEEDBACK,complaint,high
I have a question: can you help me modify my account settings?,ACCOUNT,edit_account,low
"excuse me, where is my order? it hasn't arirved yet",ORDER,track_order,medium
Do you offer express delievry? I'm in a hurry.,DELIVERY,delivery_options,medium
"Could you help - I'm still waiting for my refund, where is it?",REFUND,track_refund,high
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue,high
can you email me a pdf invoice for order #5500?,INVOICE,get_invoice,medium
i have a question: i need to change the shipping address on my order,SHIPPING_ADDRESS,change_shipping_address,medium
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy,high
I have a question: I need my account deleted right away,ACCOUNT,delete_account,high
I have a question: I need to modify my existing order,ORDER,change_order,medium
Can you check on the status of my refund?,REFUND,track_refund,high
can i change my account information?,ACCOUNT,edit_account,low
"hi team, how can i sign up for an account?",ACCOUNT,create_account,low
Can I have two accounts and switch between them? Looking forward to haering back.,ACCOUNT,switch_account,low
How can I cahnge my acconut information?,ACCOUNT,edit_account,low
quick question - i need to cancel my order immediately,CANCEL,cancel_order,high
Quick question - I want to get a refund for my purchase,REFUND,get_refund,high
I have a question: how do I track my shipment?,ORDER,track_order,medium
